dialogue_id,turn_index,sentence_index,speaker,domain,sentence_text,sentence_id,bias_count,bias_score_norm,bias_label,severity,matched_terms,hurtlex_count,hurtlex_norm,hurtlex_label,hurtlex_severity,hurtlex_terms,hurtlex_cats,toxicity_score,toxicity_label
SNG1382.json,0,0,user,"attraction, bus, hospital, hotel, police, restaurant, taxi, train",I am looking for a 4 star place to stay.,SNG1382.json_0_0,0,0.0,0,0,,0,0.0,0,0,,,0.0007274248637259007,0
SNG1382.json,1,0,system,hotel,What area would you like to stay in?,SNG1382.json_1_0,0,0.0,0,0,,0,0.0,0,0,,,0.0010632677003741264,0
SNG1382.json,2,0,user,"attraction, bus, hospital, hotel, police, restaurant, taxi, train","I'd like it to be in the north, and to be a guesthouse.",SNG1382.json_2_0,0,0.0,0,0,,0,0.0,0,0,,,0.0011207364732399583,0
SNG1382.json,3,0,system,hotel,"Great, there are 4 options for you here.",SNG1382.json_3_0,0,0.0,0,0,,0,0.0,0,0,,,0.0006249725120142102,0
SNG1382.json,3,1,system,hotel,I personally recommend avalon.,SNG1382.json_3_1,0,0.0,0,0,,0,0.0,0,0,,,0.0005402659298852086,0
SNG1382.json,3,2,system,hotel,Would you like to book?,SNG1382.json_3_2,0,0.0,0,0,,0,0.0,0,0,,,0.001515675219707191,0
SNG1382.json,4,0,user,"attraction, bus, hospital, hotel, police, restaurant, taxi, train","Yes, please book it for 5 people and 5 nights starting from wednesday.",SNG1382.json_4_0,0,0.0,0,0,,1,0.0909,1,1,people,cds,0.0005761354696005583,0
SNG1382.json,5,0,system,hotel,Your booking was successful.,SNG1382.json_5_0,0,0.0,0,0,,0,0.0,0,0,,,0.0007713678642176092,0
SNG1382.json,5,1,system,hotel,Reference number is : YB23KVSX .,SNG1382.json_5_1,0,0.0,0,0,,0,0.0,0,0,,,0.0007363478071056306,0
SNG1382.json,5,2,system,hotel,Is there anything else I can help you with?,SNG1382.json_5_2,0,0.0,0,0,,1,0.1111,1,1,can,om,0.0007456000312231481,0
SNG1382.json,6,0,user,"attraction, bus, hospital, hotel, police, restaurant, taxi, train",No that is all.,SNG1382.json_6_0,0,0.0,0,0,,0,0.0,0,0,,,0.0010348950745537877,0
