dialogue_id,turn_index,speaker,domain,toxicity_score,toxicity_label,sentiment_label,sentiment_score
SNG1382.json,0,user,"attraction, bus, hospital, hotel, police, restaurant, taxi, train",0.0007274248637259007,0,neutral,0.8666
SNG1382.json,1,system,hotel,0.0010632677003741264,0,neutral,0.8979
SNG1382.json,2,user,"attraction, bus, hospital, hotel, police, restaurant, taxi, train",0.0011207354255020618,0,neutral,0.7868
SNG1382.json,3,system,hotel,0.0005747262039221823,0,positive,0.9744
SNG1382.json,4,user,"attraction, bus, hospital, hotel, police, restaurant, taxi, train",0.0005761357024312019,0,neutral,0.7612
SNG1382.json,5,system,hotel,0.0006438386626541615,0,positive,0.8689
SNG1382.json,6,user,"attraction, bus, hospital, hotel, police, restaurant, taxi, train",0.000580641848500818,0,positive,0.7816
SNG1382.json,7,system,hotel,0.0005324619705788791,0,positive,0.7693
MUL0015.json,0,user,"attraction, bus, hospital, hotel, police, restaurant, taxi, train",0.0008565643802285194,0,neutral,0.4806
MUL0015.json,1,system,"restaurant, taxi, hotel",0.0007817809237167239,0,positive,0.6205
MUL0015.json,2,user,"attraction, bus, hospital, hotel, police, restaurant, taxi, train",0.0005585496546700597,0,neutral,0.766
MUL0015.json,3,system,"restaurant, taxi, hotel",0.0006227280246093869,0,neutral,0.8088
MUL0015.json,4,user,"attraction, bus, hospital, hotel, police, restaurant, taxi, train",0.0006083156331442297,0,neutral,0.56
MUL0015.json,5,system,"restaurant, taxi, hotel",0.0006302668480202556,0,positive,0.6554
MUL0015.json,6,user,"attraction, bus, hospital, hotel, police, restaurant, taxi, train",0.0008909458993002772,0,neutral,0.9245
MUL0015.json,7,system,"restaurant, taxi, hotel",0.000636791461147368,0,neutral,0.7886
MUL0015.json,8,user,"attraction, bus, hospital, hotel, police, restaurant, taxi, train",0.0005952311912551522,0,positive,0.9652
MUL0015.json,9,system,"restaurant, taxi, hotel",0.000561542168725282,0,neutral,0.7893
MUL0015.json,10,user,"attraction, bus, hospital, hotel, police, restaurant, taxi, train",0.0006991645786911249,0,positive,0.6073
MUL0015.json,11,system,"restaurant, taxi, hotel",0.008742689155042171,0,positive,0.9348
MUL0015.json,12,user,"attraction, bus, hospital, hotel, police, restaurant, taxi, train",0.0005715591250918806,0,neutral,0.7295
MUL0015.json,13,system,taxi,0.013744809664785862,0,neutral,0.9004
MUL0015.json,14,user,"attraction, bus, hospital, hotel, police, restaurant, taxi, train",0.0007298910059034824,0,neutral,0.9122
MUL0015.json,15,system,"restaurant, taxi, hotel",0.0013747750781476498,0,neutral,0.5535
MUL0015.json,16,user,"attraction, bus, hospital, hotel, police, restaurant, taxi, train",0.0005781215149909258,0,positive,0.9819
MUL0015.json,17,system,"restaurant, taxi, hotel",0.0005917066591791809,0,positive,0.9766
PMUL3566.json,0,user,"attraction, bus, hospital, hotel, police, restaurant, taxi, train",0.0005533529911190271,0,neutral,0.7545
PMUL3566.json,1,system,"restaurant, taxi, hotel",0.0006180200143717229,0,neutral,0.8904
PMUL3566.json,2,user,"attraction, bus, hospital, hotel, police, restaurant, taxi, train",0.000890823663212359,0,neutral,0.7529
PMUL3566.json,3,system,"restaurant, taxi, hotel",0.0006657958729192615,0,neutral,0.7305
PMUL3566.json,4,user,"attraction, bus, hospital, hotel, police, restaurant, taxi, train",0.0007679939153604209,0,neutral,0.9057
PMUL3566.json,5,system,"restaurant, taxi, hotel",0.000746308418456465,0,neutral,0.9314
PMUL3566.json,6,user,"attraction, bus, hospital, hotel, police, restaurant, taxi, train",0.0005758554325439036,0,neutral,0.7736
PMUL3566.json,7,system,"restaurant, taxi, hotel",0.0006226804689504206,0,positive,0.7876
PMUL3566.json,8,user,"attraction, bus, hospital, hotel, police, restaurant, taxi, train",0.0006778260576538742,0,neutral,0.6962
PMUL3566.json,9,system,"restaurant, taxi, hotel",0.0007444981019943953,0,neutral,0.8985
PMUL3566.json,10,user,"attraction, bus, hospital, hotel, police, restaurant, taxi, train",0.0005847382708452642,0,neutral,0.585
PMUL3566.json,11,system,restaurant,0.0006145650986582041,0,neutral,0.8661
PMUL3566.json,12,user,"attraction, bus, hospital, hotel, police, restaurant, taxi, train",0.0005762897781096399,0,neutral,0.9221
PMUL3566.json,13,system,"restaurant, taxi, hotel",0.0006795685621909797,0,neutral,0.8953
PMUL3566.json,14,user,"attraction, bus, hospital, hotel, police, restaurant, taxi, train",0.0006887317285872996,0,neutral,0.7499
PMUL3566.json,15,system,"restaurant, taxi, hotel",0.001582015072926879,0,neutral,0.9278
PMUL3566.json,16,user,"attraction, bus, hospital, hotel, police, restaurant, taxi, train",0.0005803535459563136,0,neutral,0.9358
PMUL3566.json,17,system,"restaurant, taxi, hotel",0.0007832043920643628,0,neutral,0.9008
PMUL3566.json,18,user,"attraction, bus, hospital, hotel, police, restaurant, taxi, train",0.0007646857993677258,0,neutral,0.7807
PMUL3566.json,19,system,"restaurant, taxi, hotel",0.0006449309294112027,0,neutral,0.5823
PMUL3566.json,20,user,"attraction, bus, hospital, hotel, police, restaurant, taxi, train",0.0007509685237891972,0,positive,0.9883
