dialogue_id,turn_index,category,biaslex,hurtlex,gemma,llama,mistral
PMUL1015.json,3,A_gemma_only,0,1,1,0,0
SNG1157.json,5,A_gemma_only,0,0,1,0,0
PMUL1837.json,9,A_gemma_only,0,0,1,0,0
PMUL2700.json,7,A_gemma_only,0,1,1,0,0
MUL1364.json,3,A_gemma_only,0,1,1,0,0
MUL1599.json,3,A_gemma_only,0,0,1,0,0
PMUL4271.json,10,A_gemma_only,0,0,1,0,0
PMUL0284.json,6,A_gemma_only,0,0,1,0,0
MUL2674.json,11,A_gemma_only,0,1,1,0,0
PMUL0261.json,2,A_gemma_only,0,1,1,0,0
SNG01336.json,11,A_gemma_only,0,1,1,0,0
SNG1024.json,8,A_gemma_only,0,0,1,0,0
PMUL0350.json,3,B_hurtlex_only,0,1,0,0,0
MUL1662.json,6,B_hurtlex_only,0,1,0,0,0
PMUL2029.json,1,B_hurtlex_only,0,1,0,0,0
PMUL0703.json,1,B_hurtlex_only,0,1,0,0,0
SNG1277.json,5,B_hurtlex_only,0,1,0,0,0
SNG1355.json,3,B_hurtlex_only,0,1,0,0,0
PMUL3784.json,7,B_hurtlex_only,0,1,0,0,0
PMUL1302.json,7,B_hurtlex_only,0,1,0,0,0
PMUL0220.json,7,B_hurtlex_only,0,1,0,0,0
PMUL0384.json,4,B_hurtlex_only,0,1,0,0,0
WOZ20670.json,1,B_hurtlex_only,0,1,0,0,0
SSNG0087.json,7,B_hurtlex_only,0,1,0,0,0
MUL1437.json,10,C_multi_judge,0,1,1,1,0
PMUL2378.json,11,C_multi_judge,0,0,1,1,0
MUL0689.json,9,C_multi_judge,0,0,1,1,0
MUL1465.json,11,C_multi_judge,0,1,1,1,0
SSNG0166.json,5,C_multi_judge,0,1,1,1,0
MUL1205.json,2,C_multi_judge,0,0,1,1,0
PMUL4957.json,3,C_multi_judge,0,0,1,1,0
PMUL3394.json,15,C_multi_judge,0,0,1,1,0
WOZ20268.json,7,C_multi_judge,0,0,1,1,0
PMUL4019.json,3,C_multi_judge,0,1,1,1,0
SSNG0379.json,12,D_all_agree_no_bias,0,0,0,0,0
MUL2273.json,12,D_all_agree_no_bias,0,0,0,0,0
PMUL3189.json,27,D_all_agree_no_bias,0,0,0,0,0
SSNG0353.json,0,D_all_agree_no_bias,0,0,0,0,0
PMUL0019.json,0,D_all_agree_no_bias,0,0,0,0,0
SNG0291.json,5,D_all_agree_no_bias,0,0,0,0,0
PMUL3804.json,13,D_all_agree_no_bias,0,0,0,0,0
PMUL0401.json,1,D_all_agree_no_bias,0,0,0,0,0
SSNG0230.json,1,E_random,0,0,0,0,0
MUL2190.json,7,E_random,0,0,0,0,0
PMUL0220.json,10,E_random,0,1,1,1,0
SNG1305.json,0,E_random,0,1,0,0,0
MUL1354.json,10,E_random,0,1,0,0,0
MUL0442.json,12,E_random,0,0,0,0,0
SNG01648.json,0,E_random,0,0,0,0,0
PMUL2293.json,4,E_random,0,0,0,0,0
