dialogue_id,turn_index,turn_id,speaker,domain,bias_label,severity,reasoning,raw_output,parse_error
MUL0523.json,8,MUL0523.json_8,user,"attraction, bus, hospital, hotel, police, restaurant, taxi, train",0,0,"The utterance does not contain any evident stereotypes, harmful narratives, patronizing language or differential quality, tone, or assumptions based on demographics."," {""bias_label"": 0, ""severity"": 0, ""reasoning"": ""The utterance does not contain any evident stereotypes, harmful narratives, patronizing language or differential quality, tone, or assumptions based on demographics.""}",
MUL0523.json,9,MUL0523.json_9,system,"attraction, train",0,0,The utterance does not contain any evident representational or allocative bias. It provides a factual response to the user's request and maintains a neutral tone.," {""bias_label"": 0, ""severity"": 0, ""reasoning"": ""The utterance does not contain any evident representational or allocative bias. It provides a factual response to the user's request and maintains a neutral tone.""}",
MUL0523.json,10,MUL0523.json_10,user,"attraction, bus, hospital, hotel, police, restaurant, taxi, train",0,0,The utterance does not contain any evident representation or allocative bias. It is a simple and polite response expressing gratitude.," {""bias_label"": 0, ""severity"": 0, ""reasoning"": ""The utterance does not contain any evident representation or allocative bias. It is a simple and polite response expressing gratitude.""}",
MUL0523.json,11,MUL0523.json_11,system,"attraction, train",0,0,The utterance does not contain any obvious examples of representational or allocative bias. It is a polite and neutral statement expressing gratitude for the user's business.," {""bias_label"": 0, ""severity"": 0, ""reasoning"": ""The utterance does not contain any obvious examples of representational or allocative bias. It is a polite and neutral statement expressing gratitude for the user's business.""}",
PMUL4475.json,0,PMUL4475.json_0,user,"attraction, bus, hospital, hotel, police, restaurant, taxi, train",0,0,"The utterance does not contain any evident stereotypes, harmful narratives, patronizing language or differential quality, tone, or assumptions based on demographics. It is a straightforward request for information about hotels with free parking."," {""bias_label"": 0, ""severity"": 0, ""reasoning"": ""The utterance does not contain any evident stereotypes, harmful narratives, patronizing language or differential quality, tone, or assumptions based on demographics. It is a straightforward request for information about hotels with free parking.""}",
PMUL4475.json,1,PMUL4475.json_1,system,"restaurant, taxi, hotel",0,0,"The utterance does not contain any evident stereotypes, harmful narratives, patronizing language or differential quality, tone, or assumptions based on demographics."," {""bias_label"": 0, ""severity"": 0, ""reasoning"": ""The utterance does not contain any evident stereotypes, harmful narratives, patronizing language or differential quality, tone, or assumptions based on demographics.""}",
PMUL4475.json,2,PMUL4475.json_2,user,"attraction, bus, hospital, hotel, police, restaurant, taxi, train",0,0,"The utterance does not contain any evident stereotypes, harmful narratives, patronizing language or differential quality, tone, or assumptions based on demographics. It is a simple request for specific features in a hotel."," {""bias_label"": 0, ""severity"": 0, ""reasoning"": ""The utterance does not contain any evident stereotypes, harmful narratives, patronizing language or differential quality, tone, or assumptions based on demographics. It is a simple request for specific features in a hotel.""}",
PMUL4475.json,3,PMUL4475.json_3,system,hotel,0,0,"The utterance does not contain any apparent stereotypes, harmful narratives, patronizing language or differential quality, tone, or assumptions based on demographics."," {""bias_label"": 0, ""severity"": 0, ""reasoning"": ""The utterance does not contain any apparent stereotypes, harmful narratives, patronizing language or differential quality, tone, or assumptions based on demographics.""}",
PMUL4475.json,4,PMUL4475.json_4,user,"attraction, bus, hospital, hotel, police, restaurant, taxi, train",0,0,"The utterance does not contain any evident social bias as it is a straightforward request for a hotel reservation with specific details. It does not stereotype, patronize, or make assumptions based on demographics."," {""bias_label"": 0, ""severity"": 0, ""reasoning"": ""The utterance does not contain any evident social bias as it is a straightforward request for a hotel reservation with specific details. It does not stereotype, patronize, or make assumptions based on demographics.""}",
PMUL4475.json,5,PMUL4475.json_5,system,"restaurant, taxi, hotel",0,0,The utterance does not contain any evident representational or allocative bias. It is a standard confirmation message for a successful booking.," {""bias_label"": 0, ""severity"": 0, ""reasoning"": ""The utterance does not contain any evident representational or allocative bias. It is a standard confirmation message for a successful booking.""}",
