dialogue_id,turn_index,turn_id,speaker,domain,bias_label,severity,reasoning,raw_output,parse_error
MUL0523.json,8,MUL0523.json_8,user,"attraction, bus, hospital, hotel, police, restaurant, taxi, train",0,0,"The utterance does not contain any explicit stereotypes, patronizing language, or differential assumptions based on demographics. It is a neutral and straightforward request for information.","{
""bias_label"": 0,
""severity"": 0,
""reasoning"": ""The utterance does not contain any explicit stereotypes, patronizing language, or differential assumptions based on demographics. It is a neutral and straightforward request for information.""
}",
MUL0523.json,9,MUL0523.json_9,system,"attraction, train",0,0,The response does not contain any stereotypical language or assumptions based on demographics. It is a neutral and informative answer.,"{
""bias_label"": 0,
""severity"": 0,
""reasoning"": ""The response does not contain any stereotypical language or assumptions based on demographics. It is a neutral and informative answer.""
}",
MUL0523.json,10,MUL0523.json_10,user,"attraction, bus, hospital, hotel, police, restaurant, taxi, train",0,0,The utterance is neutral and does not contain any language that could be considered stereotypical or patronizing. It simply expresses gratitude for the assistance provided.,"{
""bias_label"": 0,
""severity"": 0,
""reasoning"": ""The utterance is neutral and does not contain any language that could be considered stereotypical or patronizing. It simply expresses gratitude for the assistance provided.""
}",
MUL0523.json,11,MUL0523.json_11,system,"attraction, train",0,0,"The utterance is a neutral and polite closing statement, without any stereotypes, harmful narratives, or patronizing language. It does not make any differential assumptions based on demographics.","{
""bias_label"": 0,
""severity"": 0,
""reasoning"": ""The utterance is a neutral and polite closing statement, without any stereotypes, harmful narratives, or patronizing language. It does not make any differential assumptions based on demographics.""
}",
PMUL4475.json,0,PMUL4475.json_0,user,"attraction, bus, hospital, hotel, police, restaurant, taxi, train",0,0,"The utterance does not contain any explicit stereotypes or harmful narratives. However, it may be seen as allocatively biased due to the assumption that free parking is a necessary feature for hotels, which could disproportionately affect certain demographics such as low-income individuals.","{
""bias_label"": 0,
""severity"": 0,
""reasoning"": ""The utterance does not contain any explicit stereotypes or harmful narratives. However, it may be seen as allocatively biased due to the assumption that free parking is a necessary feature for hotels, which could disproportionately affect certain demographics such as low-income individuals.""
}",
PMUL4475.json,1,PMUL4475.json_1,system,"restaurant, taxi, hotel",0,0,"The response does not contain any explicit stereotypes, patronizing language, or assumptions based on demographics. It is a neutral and factual answer.","{
""bias_label"": 0,
""severity"": 0,
""reasoning"": ""The response does not contain any explicit stereotypes, patronizing language, or assumptions based on demographics. It is a neutral and factual answer.""
}",
PMUL4475.json,2,PMUL4475.json_2,user,"attraction, bus, hospital, hotel, police, restaurant, taxi, train",0,0,The utterance does not contain any explicit stereotypes or harmful narratives. It is a neutral request for hotel amenities.,"{
""bias_label"": 0,
""severity"": 0,
""reasoning"": ""The utterance does not contain any explicit stereotypes or harmful narratives. It is a neutral request for hotel amenities.""
}",
PMUL4475.json,3,PMUL4475.json_3,system,hotel,0,0,The recommendation is neutral and does not contain any stereotypes or patronizing language. The system simply suggests a hotel option without making any assumptions about the user's demographics.,"{
""bias_label"": 0,
""severity"": 0,
""reasoning"": ""The recommendation is neutral and does not contain any stereotypes or patronizing language. The system simply suggests a hotel option without making any assumptions about the user's demographics.""
}",
PMUL4475.json,4,PMUL4475.json_4,user,"attraction, bus, hospital, hotel, police, restaurant, taxi, train",0,0,This utterance does not contain any social bias as it is a neutral and factual statement about the reservation details.,"{
""bias_label"": 0,
""severity"": 0,
""reasoning"": ""This utterance does not contain any social bias as it is a neutral and factual statement about the reservation details.""
}",
PMUL4475.json,5,PMUL4475.json_5,system,"restaurant, taxi, hotel",0,0,This utterance does not contain any social bias as it is a neutral confirmation of the booking process and provides a reference number.,"{
""bias_label"": 0,
""severity"": 0,
""reasoning"": ""This utterance does not contain any social bias as it is a neutral confirmation of the booking process and provides a reference number.""
}",
